Index	Object_Name	FOB_Category	Man_made	Tool	Spikiness	Furry	Interactive_Tool	No_Interactive_Tools(Sensor)	vehicles	Clothting	Schematic	Furniture	Food
191	celery	Food	0	0	4	0							
192	chain	Object	1	1	5	0							
193	chair	Object	1	1	3	0							
194	cherry	Food	0	0	2	0							
195	hen	Body	0	0	2	1							
196	chisel	Object	1	1	5	0							
197	chapel	Object	1	0	3	0							
198	cigar	Object	1	0	5	0							
199	cigarette	Object	1	0	5	0							
200	clock	Object	1	1	2	0							
201	clothespin	Object	1	1	5	0							
202	cloud	Object	0	0	2	0							
203	clown	Face	1	0	2	0							
204	cloak	Object	1	1	3	0							
205	comb	Object	1	1	5	0							
206	corn	Food	0	0	5	0							
207	sofa	Object	1	0	3	0							
208	cow	Body	0	0	4	0							
209	crown	Object	1	0	3	0							
210	cup	Object	1	1	2	0							
211	deer	Body	0	0	4	1							
212	desk	Object	1	1	3	0							
213	dog	Body	0	0	4	1							
214	girl	Body	0	0	4	0							
215	donkey	Body	0	0	4	1							
216	door	Object	1	1	4	0							
217	door_handle	Object	1	1	2	0							
218	dress	Object	1	0	4	0							
219	drawer	Object	1	1	3	0							
220	drum	Object	1	0	2	0							
221	duck	Body	0	0	4	1							
222	eagle	Body	0	0	4	1							
223	ear	Body	0	0	3	0							
224	elephant	Body	0	0	3	1							
225	envelope	Object	1	0	4	0							
226	eye	Body	0	0	3	0							
227	fence	Object	1	0	4	0							
228	finger	Body	0	0	4	0							
229	fish	Body	0	0	3	0							
230	flag	Object	1	0	4	0							
231	flower	Object	0	0	3	0							
232	flute	Object	1	0	5	0							
233	fly	Body	0	0	3	1							
234	foot	Body	0	0	3	0							
235	football	Object	1	0	4	0							
236	helmet	Object	1	0	2	0							
237	folk	Object	1	1	5	0							
238	fox	Body	0	0	4	1							
239	french_horn	Object	1	0	2	0							
240	frog	Body	0	0	4	0							
241	pan	Object	1	1	3	0							
242	trash_can	Object	1	0	3	0							
243	giraffe	Body	0	0	4	1							
244	glass	Object	1	1	4	0							
245	glasses	Object	1	1	3	0							
246	gloves	Object	1	1	3	0							
247	goat	Body	0	0	4	1							
248	gorilla	Body	0	0	3	1							
249	grape	Food	0	0	3	0							
250	cricket	Body	0	0	4	0							
251	guitar	Object	1	0	4	0							
252	gun	Object	1	1	4	0							
253	shell	Object	0	0	2	0							
254	hammer	Object	1	1	5	0							
255	hand	Body	0	0	3	0							
256	clothes_rack	Object	1	1	4	0							
257	harp	Object	1	0	4	0							
258	hat	Object	1	0	3	0							
259	heart	Object	0	0	2	0							
260	helicopter	Object	1	1	4	0							
261	horse	Body	0	0	4	1							
262	house	Object	1	0	4	0							
263	iron	Object	1	1	3	0							
264	ironing_board	Object	1	1	4	0							
265	jacket	Object	1	0	3	0							
266	kangaroo	Body	0	0	4	1							
267	kettle	Object	1	1	2	0							
268	key	Object	1	1	5	0							
269	kite	Object	1	0	4	0							
270	knife	Object	1	1	5	0							
271	ladder	Object	1	1	4	0							
272	lamp	Object	1	1	2	0							
273	maple_leaves	Object	0	0	2	0							
274	leg	Body	0	0	4	0							
275	lemon	Food	0	0	2	0							
276	leopard	Body	0	0	4	1							
277	cabbage	Food	0	0	1	0							
278	light_bulb	Object	1	1	1	0							
279	switch	Object	1	1	3	0							
280	lion	Body	0	0	4	1							
281	lip	Body	0	0	4	0							
282	lobster	Body	0	0	4	0							
283	lock	Object	1	1	3	0							
284	gloves	Object	1	1	2	0							
285	monkey	Body	0	0	4	1							
286	moon	Object	0	0	4	0							
287	motorcycle	Object	1	1	4	0							
288	mountain	Object	0	0	4	0							
289	mouse	Body	0	0	4	1							
290	mushroom	Food	0	0	3	0							
291	nail	Object	1	1	5	0							
292	file	Object	1	1	5	0							
293	rosary	Object	1	0	2	0							
294	needle	Object	1	1	5	0							
295	nose	Body	0	0	2	0							
296	hex_nuts	Object	1	1	3	0							
297	onion	Food	0	0	1	0							
298	orange	Food	0	0	1	0							
299	ostrich	Body	0	0	4	1							
300	owl	Body	0	0	3	1							
301	writing_brush	Object	1	1	5	0							
302	paints	Object	1	1	4	0							
303	apricot	Food	0	0	1	0							
304	peacock	Body	0	0	4	1							
305	peanut	Food	0	0	4	0							
306	pear	Food	0	0	2	0							
307	pen	Object	1	1	5	0							
308	pencil	Object	1	1	5	0							
309	penguin	Body	0	0	4	1							
310	bell_peppers	Food	0	0	1	0							
311	piano	Object	1	1	3	0							
312	pig	Body	0	0	4	1							
313	pineapple	Food	0	0	3	0							
314	pipe	Object	1	1	4	0							
315	pot	Object	1	1	2	0							
316	carp_pliers	Object	1	1	4	0							
317	plug	Object	1	1	3	0							
318	bag	Object	1	1	4	0							
319	cooking_pot	Object	1	1	2	0							
320	potato	Food	0	0	2	0							
321	pumpkin	Food	0	0	1	0							
322	rabbit	Body	0	0	3	1							
323	raccoon	Body	0	0	4	1							
324	record_player	Object	1	1	3	0							
325	refrigerator	Object	1	1	3	0							
326	rhino	Body	0	0	4	0							
327	ring	Object	1	0	1	0							
328	rocking_chair	Object	1	1	3	0							
329	roller_skates	Object	1	0	3	0							
330	rolling_pin	Object	1	1	5	0							
331	cock	Body	0	0	3	1							
332	ruler	Object	1	1	5	0							
333	sailboat	Object	1	1	3	0							
334	pepper_pot	Object	1	1	4	0							
335	sandwich	Food	1	0	2	0							
336	saw	Object	1	1	5	0							
337	scissors	Object	1	1	4	0							
338	screws	Object	1	1	5	0							
339	screwdriver	Object	1	1	5	0							
340	hippocampus	Body	0	0	4	0							
341	seal	Body	0	0	2	0							
342	sheep	Body	0	0	4	1							
343	shirt	Object	1	0	4	0							
344	shoe	Object	1	0	4	0							
345	skirt	Object	1	0	4	0							
346	skunk	Body	0	0	4	1							
347	skateboard	Object	1	1	4	0							
348	snails	Object	0	0	2	0							
349	snake	Object	0	0	4	0							
350	snow_man	Body	1	0	3	0							
351	sock	Object	1	1	2	0							
352	spider	Body	0	0	4	0							
353	textile_machines	Object	1	1	3	0							
354	spool	Object	1	1	3	0							
355	spoon	Object	1	1	5	0							
356	squirrel	Body	0	0	3	0							
357	star	Object	1	0	4	0							
358	stool	Object	1	1	3	0							
359	stove	Object	1	1	3	0							
360	strawberry	Food	0	0	1	0							
361	briefcase	Object	1	1	3	0							
362	sun	Object	0	0	1	0							
363	swan	Body	0	0	3	0							
364	sweater	Object	1	1	3	0							
365	swing	Object	1	0	4	0							
366	table	Object	1	1	3	0							
367	rotary_telephone	Object	1	1	3	0							
368	television	Object	1	1	3	0							
369	racket	Object	1	1	4	0							
370	paper_cup	Object	1	1	3	0							
371	thumb	Body	0	0	3	0							
372	tie	Object	1	0	3	0							
373	tiger	Body	0	0	4	1							
374	toaster	Object	1	1	3	0							
375	toe	Body	0	0	2	0							
376	tomato	Food	0	0	1	0							
377	tooth_brush	Object	1	1	5	0							
378	spin	Object	1	0	3	0							
379	traffic_light	Object	1	1	3	0							
380	train	Object	1	1	4	0							
381	oak	Object	0	0	3	0							
382	truck	Object	1	1	4	0							
383	trumpet	Object	1	1	4	0							
384	turtle	Body	0	0	3	0							
385	umbrella	Object	1	1	4	0							
386	vase	Object	1	0	4	0							
387	vest	Object	1	0	3	0							
388	violin	Object	1	0	4	0							
389	handcart	Object	1	1	3	0							
390	hadnwatch	Object	1	1	3	0							
391	watering_can	Object	1	1	3	0							
392	watermelon	Food	0	0	4	0							
393	well	Object	1	1	3	0							
394	wheel	Object	1	1	1	0							
395	whistle	Object	1	1	2	0							
396	windmill	Object	1	0	3	0							
397	window	Object	1	1	3	0							
398	goblet	Object	1	1	3	0							
399	wrench	Object	1	1	5	0							
400	zebra	Object	0	0	4	1							
